unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,prtvgde1,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
DE_51273,DE,51273,0.9958686,0.12240401,2.9929698,0.3663515,55,2,7,16,10,4,1,7,6,3,6,1,2,2,3,7,5,3,3,8,3,10,3,5,8,7,5,7,5,2,2,2,10,10
DE_51276,DE,51276,0.99586856,0.9957759,2.9929698,2.9803271,38,2,3,13,8,4,1,7,6,2,7,1,1,2,1,6,7,6,6,9,7,7,5,8,7,8,10,7,8,2,2,1,9,9
DE_51277,DE,51277,0.9958686,0.18998666,2.9929698,0.5686243,64,1,7,17,1,4,1,9,6,1,5,1,1,1,6,6,8,5,5,9,5,6,4,7,7,6,7,6,4,2,3,2,8,8
DE_51282,DE,51282,0.99586856,0.8195542,2.9929698,2.452901,35,1,6,22,10,3,2,5,2,2,4,1,5,2,4,0,6,0,0,6,2,3,0,2,6,2,8,6,3,3,3,4,6,8
DE_51299,DE,51299,0.9958686,0.33043048,2.9929698,0.98896843,58,1,3,15,2,3,1,4,1,2,6,2,66,2,5,4,5,3,4,4,3,4,0,5,4,4,8,6,8,1,1,3,8,9
DE_51311,DE,51311,1.0175319,0.5908998,2.9929698,1.7685453,31,1,6,77,77,1,1,3,2,2,6,1,77,2,6,3,5,2,2,6,3,5,5,3,6,7,4,3,5,3,3,4,8,8
DE_51356,DE,51356,0.9958686,2.741497,2.9929698,8.205217,16,1,1,9,10,3,1,7,6,1,7,3,66,2,5,7,9,8,7,9,9,7,7,8,7,6,8,7,8,1,1,2,10,10
DE_51371,DE,51371,0.9958686,0.76768684,2.9929698,2.2976635,50,1,7,23,10,4,1,6,6,1,5,1,77,1,4,6,7,5,5,7,6,7,7,6,6,6,8,7,7,1,1,4,8,8
DE_51386,DE,51386,0.9958686,0.43609115,2.9929698,1.3052076,84,1,5,14,4,4,1,5,6,3,3,1,6,1,5,5,3,5,3,8,1,5,5,4,8,8,8,9,2,3,3,2,6,2
DE_51389,DE,51389,0.9958686,0.13493912,2.9929698,0.4038687,75,1,5,15,77,3,1,7,6,4,3,1,1,2,7,5,7,0,2,6,2,7,7,6,6,6,7,7,7,2,2,3,5,7
DE_51399,DE,51399,0.9958686,3.1918347,2.9929698,9.553064,29,2,1,6,6,3,2,2,1,2,5,3,66,4,5,4,7,88,88,7,88,8,4,1,4,1,6,8,7,2,3,3,10,9
DE_51420,DE,51420,0.99586856,0.33043048,2.9929698,0.98896843,62,1,3,12,9,4,1,0,6,3,4,1,6,3,4,3,4,1,1,7,0,2,2,5,8,8,5,4,1,3,4,4,10,10
DE_51421,DE,51421,1.0310322,0.13995485,2.9929698,0.41888064,56,2,7,19,8,1,1,3,2,2,5,1,4,2,3,10,10,7,6,8,7,8,6,7,7,8,10,7,5,2,2,3,7,8
DE_51426,DE,51426,0.9958686,0.23618698,2.9929698,0.7069005,35,1,7,16,1,3,2,4,6,2,1,3,66,2,3,8,7,5,5,10,8,9,4,3,4,9,5,7,8,2,2,2,5,6
DE_51445,DE,51445,0.9958686,0.7281602,2.9929698,2.1793613,29,2,6,17,5,3,2,5,6,2,1,3,66,3,10,5,5,4,6,8,4,4,4,3,4,9,6,6,3,3,2,3,2,5
DE_51464,DE,51464,0.9958686,4.011296,2.9929698,12.005687,77,2,2,7,77,3,1,9,6,2,5,2,66,3,0,5,5,5,6,8,6,5,8,5,9,5,6,5,6,2,1,2,9,10
DE_51489,DE,51489,0.9958686,0.6587091,2.9929698,1.9714965,37,2,3,13,7,4,1,0,6,2,6,1,88,3,5,5,8,3,3,10,3,7,2,7,8,5,8,3,2,2,2,2,10,10
DE_51492,DE,51492,0.99586856,0.6592424,2.9929698,1.9730926,59,1,7,18,10,4,1,0,2,2,4,1,7,2,4,3,6,3,2,6,6,4,2,4,4,5,7,7,6,1,1,2,7,7
DE_51498,DE,51498,0.9958686,1.146574,2.9929698,3.4316614,71,1,3,12,2,4,1,5,6,3,1,1,1,2,6,7,8,3,4,7,4,7,5,7,8,6,3,4,5,2,2,4,5,6
DE_51500,DE,51500,0.9958687,3.0600314,2.9929698,9.158582,71,2,2,9,2,4,1,8,6,3,6,1,88,3,5,3,88,3,3,7,88,4,3,3,8,5,5,5,4,3,3,3,8,10
DE_51540,DE,51540,0.9958686,0.29818803,2.9929698,0.89246774,73,2,3,11,4,3,1,9,6,2,4,1,1,2,88,4,5,2,2,10,8,8,0,3,7,2,8,7,3,2,3,3,7,5
DE_51542,DE,51542,0.9958686,0.29818803,2.9929698,0.89246774,78,2,3,11,3,4,1,8,6,4,3,1,77,4,77,1,3,0,1,8,1,0,1,1,5,5,5,4,3,2,2,2,9,5
DE_51575,DE,51575,0.9958686,0.61751944,2.9929698,1.848217,68,1,7,16,8,4,1,1,6,3,5,1,88,1,4,7,10,5,5,10,5,9,5,5,6,6,6,8,8,2,2,5,9,8
DE_51580,DE,51580,0.9958686,0.18998666,2.9929698,0.5686243,56,1,5,13,5,2,1,4,6,3,6,1,2,2,5,1,4,1,1,6,1,1,0,4,5,5,0,0,5,2,3,2,5,1
DE_51619,DE,51619,0.9958686,0.31249204,2.9929698,0.93527925,51,1,3,14,7,4,1,7,6,3,4,1,88,2,4,5,7,4,4,8,4,5,4,6,6,7,7,5,5,2,2,2,7,7
DE_51659,DE,51659,0.9958686,0.20523974,2.9929698,0.61427635,60,2,3,17,4,4,1,3,1,3,4,1,6,2,6,7,8,2,5,9,5,4,2,8,8,5,3,3,3,3,3,3,9,8
DE_51665,DE,51665,0.9958686,0.8206315,2.9929698,2.4561253,39,2,5,14,9,3,1,3,6,4,7,1,1,2,5,9,7,6,4,6,5,7,6,5,6,6,7,7,7,2,2,2,8,7
DE_51667,DE,51667,0.9958686,0.29818803,2.9929698,0.89246774,59,2,3,15,9,5,1,4,6,2,5,1,1,1,4,4,3,9,9,9,9,8,3,4,5,8,8,9,7,2,2,2,9,9
DE_51669,DE,51669,0.9958686,0.85991246,2.9929698,2.573692,46,2,2,14,9,3,1,7,6,2,6,1,88,3,5,0,5,5,5,5,5,5,0,3,8,3,4,5,0,8,3,4,10,10
DE_51699,DE,51699,0.9958686,0.22510053,2.9929698,0.6737191,44,2,3,10,9,2,1,4,6,1,2,1,77,3,4,6,9,5,4,9,5,4,3,3,5,4,3,7,4,1,2,2,7,8
DE_51700,DE,51700,0.9958686,0.80285877,2.9929698,2.402932,65,2,5,20,7,3,1,0,6,1,4,1,77,3,77,2,7,5,2,7,5,5,88,10,9,8,88,5,77,8,7,3,8,8
DE_51711,DE,51711,0.9958686,0.1852647,2.9929698,0.55449164,43,1,6,18,10,4,1,5,6,2,4,1,5,2,6,7,8,7,7,9,6,8,3,7,7,5,7,7,6,2,2,4,8,9
DE_51722,DE,51722,1.0186515,0.30767405,2.9929698,0.9208591,63,2,7,22,9,1,1,10,6,1,4,1,77,1,77,10,10,8,8,10,8,8,8,10,10,8,10,10,10,1,1,4,10,10
DE_51737,DE,51737,0.9958687,0.9327553,2.9929698,2.7917085,52,2,3,12,3,5,1,7,2,2,4,1,88,4,5,0,4,0,0,7,0,5,0,8,1,1,7,3,5,3,2,1,7,6
DE_51751,DE,51751,0.99586856,1.0346941,2.9929698,3.096808,60,2,3,14,6,4,1,6,2,3,4,1,2,2,1,7,6,6,6,7,5,8,2,6,6,6,7,7,6,2,2,2,10,8
DE_51769,DE,51769,0.9958686,1.0070395,2.9929698,3.0140388,33,2,3,11,5,4,2,9,2,2,5,3,66,4,88,9,0,0,0,0,4,6,6,5,6,8,1,5,8,3,3,2,6,6
DE_51770,DE,51770,0.9958686,0.96921027,2.9929698,2.900817,75,2,3,14,8,3,1,10,1,5,6,1,2,1,5,8,10,5,3,10,3,4,0,5,2,1,8,8,8,3,3,1,10,9
DE_51800,DE,51800,1.0174682,0.3046554,2.9929698,0.9118244,63,2,3,12,4,2,1,4,6,4,6,1,55,3,5,3,8,3,2,8,1,2,2,5,8,6,8,3,6,2,2,1,8,8
DE_51820,DE,51820,0.99586856,0.1852647,2.9929698,0.55449164,39,1,7,18,10,3,1,1,6,2,6,1,1,2,7,6,9,1,1,8,3,3,1,6,7,3,6,4,5,3,3,3,8,8
