unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_71964,PL,71964,1.0813186,0.7128262,2.155714,1.5366495,24,1,7,17,77,4,1,9,6,1,6,1,1,9,6,8,5,4,8,5,6,4,7,7,88,3,5,4,3,2,3,7,8
PL_52589,PL,52589,1.0433729,1.217572,2.155714,2.624737,60,1,2,11,4,4,1,5,1,2,6,1,3,2,3,88,5,5,5,5,5,5,5,5,5,3,88,3,3,3,1,10,10
PL_50493,PL,50493,0.8849815,0.8027308,2.155714,1.7304581,29,1,7,18,10,1,1,7,6,2,4,1,2,6,2,1,0,0,4,0,6,2,3,3,3,6,5,5,2,3,2,7,8
PL_64784,PL,64784,1.0644792,0.9623322,2.155714,2.074513,62,2,2,7,2,4,1,8,6,3,1,1,4,7,2,1,1,1,2,3,3,2,2,3,2,3,88,88,4,8,8,5,8
PL_74321,PL,74321,0.92318326,0.8601586,2.155714,1.854256,43,1,7,19,8,1,1,8,6,1,2,1,1,4,6,6,5,5,7,7,1,1,7,5,8,7,7,7,2,2,3,9,8
PL_54278,PL,54278,1.0380609,1.197077,2.155714,2.580556,999,1,4,13,3,3,1,0,6,2,5,1,2,3,6,6,5,5,7,4,88,88,5,2,5,7,6,6,3,2,2,6,6
PL_83901,PL,83901,1.0433729,0.98716444,2.155714,2.1280444,28,1,4,16,9,4,1,9,6,1,4,1,2,5,0,5,1,2,5,2,4,4,5,5,5,9,3,5,4,3,4,8,8
PL_60284,PL,60284,1.0531778,0.9612827,2.155714,2.0722506,64,1,2,8,3,4,1,9,6,2,4,1,3,10,7,2,5,5,10,4,9,8,7,3,5,5,6,3,3,3,4,8,8
PL_68977,PL,68977,1.0813186,0.7128262,2.155714,1.5366495,33,1,3,14,88,4,1,3,2,2,4,1,3,5,5,6,3,2,6,2,5,4,5,5,4,4,5,5,3,3,2,7,8
PL_64224,PL,64224,0.89907056,0.5152836,2.155714,1.1108041,28,2,4,13,3,1,1,2,6,2,4,1,3,5,7,6,2,4,5,6,4,3,5,5,7,1,2,2,4,4,4,8,9
